file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.8;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.7;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.6;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.5;0.45923157335816306;0.9677668058064918;0.30104210477125104;-1;-1;token based replay
sample 0.4;0.45923157335816306;0.9677668058064918;0.30104210477125104;-1;-1;token based replay
sample 0.3;0.45923157335816306;0.9677668058064918;0.30104210477125104;-1;-1;token based replay
sample 0.2;0.45923157335816306;0.9677668058064918;0.30104210477125104;-1;-1;token based replay
sample 0.1;0.45885345386406945;0.9644172362179158;0.30104210477125104;-1;-1;token based replay
sample 0.05;0.4603753880793204;0.9627643704833256;0.30251647024984685;-1;-1;token based replay
sample 0.01;0.4561775653442632;0.9682891484101952;0.2983731207904742;-1;-1;token based replay
sample 0.005;0.47688948898482264;0.9814689012305042;0.31496432418636244;-1;-1;token based replay
sample 0.001;0.6335324849519938;0.987876722151501;0.46628089827585717;-1;-1;token based replay
