file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.38161172192051923;0.9635161009573542;0.2379216809562814;-1;-1;token based replay
sample 0.8;0.38161070816477993;0.9635157834271839;0.23792091220598954;-1;-1;token based replay
sample 0.7;0.4120906769616134;0.9675907068867751;0.2617934045461737;-1;-1;token based replay
sample 0.6;0.38161172192051923;0.9635161009573542;0.2379216809562814;-1;-1;token based replay
sample 0.5;0.4117172816408796;0.9635251216264437;0.2617906123065711;-1;-1;token based replay
sample 0.4;0.44697081744584616;0.9639933820968304;0.29093333596736437;-1;-1;token based replay
sample 0.3;0.447335461242131;0.9673630599729758;0.29093620972362155;-1;-1;token based replay
sample 0.2;0.5016984114955605;0.9711288927335641;0.3382115528488364;-1;-1;token based replay
sample 0.1;0.48944459575590066;0.9687025220297781;0.32744417491378597;-1;-1;token based replay
sample 0.05;0.5471492579017854;0.9689578210705504;0.38120316880311855;-1;-1;token based replay
sample 0.01;0.6970632599499245;0.963234569891029;0.546146264955544;-1;-1;token based replay
sample 0.005;0.7987650486912063;0.9639768806846185;0.68189757070021;-1;-1;token based replay
sample 0.001;0.9698661363459791;0.9563653767263777;0.9837535273164639;-1;-1;token based replay
