file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.8;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.7;0.9047030262861734;0.9142657350507933;0.8953382880420089;-1;-1;token based replay
sample 0.6;0.9486168455689516;0.9251682453982533;0.9732849752306073;-1;-1;token based replay
sample 0.5;0.9036184075782145;0.9142526437417007;0.893228713706846;-1;-1;token based replay
sample 0.4;0.9110953667587649;0.9131256089054653;0.9090741326584414;-1;-1;token based replay
sample 0.3;0.9486647228562953;0.9136721612749092;0.9864443739899009;-1;-1;token based replay
sample 0.2;0.9375561282903462;0.9135946249832119;0.9628083965808167;-1;-1;token based replay
sample 0.1;0.9388298590496436;0.9130920495010826;0.9660607247206241;-1;-1;token based replay
sample 0.05;0.9378956119636073;0.9142395521169057;0.9628083965808167;-1;-1;token based replay
sample 0.01;0.9383939778248173;0.9122677919090778;0.9660607247206241;-1;-1;token based replay
sample 0.005;0.948803273774904;0.9113273142345942;0.9894936187731577;-1;-1;token based replay
sample 0.001;0.9265693848292602;0.89441490303938;0.9611220068415052;-1;-1;token based replay
