file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.8;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.7;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.6;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.5;0.6167532480899364;0.9999873764469748;0.445876137936412;-1;-1;token based replay
sample 0.4;0.6300401968217827;0.9999858976829893;0.4598998318344666;-1;-1;token based replay
sample 0.3;0.6302189267091819;0.9999670670373977;0.46009430890739944;-1;-1;token based replay
sample 0.2;0.6302189267091819;0.9999670670373977;0.46009430890739944;-1;-1;token based replay
sample 0.1;0.8349173611181965;0.999866037704235;0.7166852405194567;-1;-1;token based replay
sample 0.05;0.4143701762291907;0.9996632897196589;0.2613514495995072;-1;-1;token based replay
sample 0.01;0.4411128569325021;0.9991027403524235;0.28303843807199514;-1;-1;token based replay
sample 0.005;0.5937658635206461;0.9974105856779117;0.4227016266793583;-1;-1;token based replay
sample 0.001;0.965076431403177;0.9769019430125191;0.9535337939553017;-1;-1;token based replay
