file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.1971780953102661;0.8749114887590724;0.11110936112658754;-1;-1;token based replay
sample 0.8;0.1971780953102661;0.8749114887590724;0.11110936112658754;-1;-1;token based replay
sample 0.7;0.1971780953102661;0.8749114887590724;0.11110936112658754;-1;-1;token based replay
sample 0.6;0.1971780953102661;0.8749114887590724;0.11110936112658754;-1;-1;token based replay
sample 0.5;0.48944459575590066;0.9687025220297781;0.32744417491378597;-1;-1;token based replay
sample 0.4;0.48944459575590066;0.9687025220297781;0.32744417491378597;-1;-1;token based replay
sample 0.3;0.48944459575590066;0.9687025220297781;0.32744417491378597;-1;-1;token based replay
sample 0.2;0.48944459575590066;0.9687025220297781;0.32744417491378597;-1;-1;token based replay
sample 0.1;0.4893103302584069;0.9676514901262518;0.32744417491378597;-1;-1;token based replay
sample 0.05;0.6483844647075595;0.9221555397138547;0.49995653465274814;-1;-1;token based replay
sample 0.01;0.6601683383057712;0.9088925204775096;0.5183253347753269;-1;-1;token based replay
sample 0.005;0.8082702362192389;0.9132049913800181;0.7249657196933119;-1;-1;token based replay
sample 0.001;0.9130982650806748;0.8703735555798789;0.9602340259846716;-1;-1;token based replay
