file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9396954580899771;0.9007951885975127;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9351108762402939;0.8994775676979014;0.9736839106979076;-1;-1;token based replay
sample 0.7;0.9412014065963092;0.9035669562398398;0.9821071323559086;-1;-1;token based replay
sample 0.6;0.9378657896603303;0.9009485855280055;0.9779376939350187;-1;-1;token based replay
sample 0.5;0.9283290917750615;0.8991675096661614;0.9594455981992058;-1;-1;token based replay
sample 0.4;0.9374855694309654;0.9014261566371096;0.9765501387328304;-1;-1;token based replay
sample 0.3;0.9372492809095384;0.900989336430591;0.9765501387328304;-1;-1;token based replay
sample 0.2;0.932449030239252;0.8980363558062967;0.9696041773189633;-1;-1;token based replay
sample 0.1;0.9306122590149859;0.8968151492665968;0.9670564620454164;-1;-1;token based replay
sample 0.05;0.9311559033742546;0.9117094800998085;0.9514499766220492;-1;-1;token based replay
sample 0.01;0.9277471807592087;0.8807870629617313;0.9799967718133186;-1;-1;token based replay
sample 0.005;0.900625420930682;0.8702514133835412;0.9331963689552372;-1;-1;token based replay
sample 0.001;0.8446350879243957;0.9360787125507225;0.7694673848663992;-1;-1;token based replay
