file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.24538159510303686;0.936274886503816;0.14119291922306243;-1;-1;token based replay
sample 0.8;0.254426186975469;0.9593776142400852;0.14666017486545058;-1;-1;token based replay
sample 0.7;0.2864518448186365;0.9584816240088637;0.16838816881833063;-1;-1;token based replay
sample 0.6;0.2864518448186365;0.9584816240088637;0.16838816881833063;-1;-1;token based replay
sample 0.5;0.2646337100896187;0.9590015305084907;0.1534951236744161;-1;-1;token based replay
sample 0.4;0.26355152525034387;0.954555901612893;0.15288085594549672;-1;-1;token based replay
sample 0.3;0.27404839362857575;0.9550146212616635;0.15997755904378497;-1;-1;token based replay
sample 0.2;0.2751530167231568;0.9593576708991878;0.1606085472008688;-1;-1;token based replay
sample 0.1;0.25765943567078636;0.9448698199301581;0.14916829697499978;-1;-1;token based replay
sample 0.05;0.3038001995511212;0.9360860035742447;0.18132378642952107;-1;-1;token based replay
sample 0.01;0.34432644745632973;0.9489894241982952;0.2103187025039014;-1;-1;token based replay
sample 0.005;0.40711417528402305;0.9646096184161088;0.25800206516169977;-1;-1;token based replay
sample 0.001;0.5551833007163081;0.6525006253221328;0.4831272056378517;-1;-1;token based replay
