file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.8;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.7;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.6;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.5;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.4;0.27583585106707514;0.9748190063122268;0.1606462438740709;-1;-1;token based replay
sample 0.3;0.2760354624952153;0.9746812220384254;0.1607854202269986;-1;-1;token based replay
sample 0.2;0.2758437076522567;0.974555423243968;0.16065873465207037;-1;-1;token based replay
sample 0.1;0.27587099131512827;0.97318594668052;0.16071453269848512;-1;-1;token based replay
sample 0.05;0.27587099131512827;0.97318594668052;0.16071453269848512;-1;-1;token based replay
sample 0.01;0.3070265832915399;0.9342908374922272;0.18369644795871243;-1;-1;token based replay
sample 0.005;0.3416115596537172;0.998601533358491;0.2060495151296714;-1;-1;token based replay
sample 0.001;0.4166167664455985;0.9808188747049675;0.2644789893172773;-1;-1;token based replay
