file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9396788623962358;0.9007646888508056;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9332548162460328;0.8991012804646787;0.9701055415710057;-1;-1;token based replay
sample 0.7;0.941127382027212;0.9015626862970022;0.9843240239228526;-1;-1;token based replay
sample 0.6;0.9351422804698672;0.8995356824072396;0.9736839106979076;-1;-1;token based replay
sample 0.5;0.9420632046100268;0.9027853215460726;0.9849143101599331;-1;-1;token based replay
sample 0.4;0.9412206648140363;0.912298669869968;0.9720364878730817;-1;-1;token based replay
sample 0.3;0.93479657457802;0.8989755263985559;0.9735907811550932;-1;-1;token based replay
sample 0.2;0.9272074732019209;0.9105212561905472;0.9445166907132669;-1;-1;token based replay
sample 0.1;0.9386248462103391;0.9015632993303304;0.9788640807080906;-1;-1;token based replay
sample 0.05;0.9459953936057701;0.909079912934917;0.9860358646173153;-1;-1;token based replay
sample 0.01;0.9092925914235295;0.8848907006036002;0.9350784683425633;-1;-1;token based replay
sample 0.005;0.9203262085457691;0.8770520156683592;0.9680923793050632;-1;-1;token based replay
sample 0.001;0.9556248053374067;0.9299558320938313;0.9827510510845705;-1;-1;token based replay
