file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9398134699301895;0.9010251378657841;0.9820916430549991;-1;-1;token based replay
sample 0.8;0.9365126216261163;0.8959914605514023;0.9808725237906081;-1;-1;token based replay
sample 0.7;0.9383504428069225;0.9009928228603199;0.9789399638232508;-1;-1;token based replay
sample 0.6;0.9365888734437846;0.8997721242007153;0.976547089938028;-1;-1;token based replay
sample 0.5;0.9241404115166487;0.9044637499190002;0.9446922464000262;-1;-1;token based replay
sample 0.4;0.9378493582109535;0.8993825272003659;0.9797536851216527;-1;-1;token based replay
sample 0.3;0.9385280245103251;0.9017816121443043;0.9783963880342175;-1;-1;token based replay
sample 0.2;0.9349146265099697;0.894614256221617;0.9790171586784471;-1;-1;token based replay
sample 0.1;0.9360060701114213;0.9059127645815601;0.9681673978309109;-1;-1;token based replay
sample 0.05;0.9439621110787526;0.9121792311265933;0.9780397562391179;-1;-1;token based replay
sample 0.01;0.9121522525877508;0.888479949980592;0.9371205148512026;-1;-1;token based replay
sample 0.005;0.9355074616831447;0.8906526205085281;0.9851198390583992;-1;-1;token based replay
sample 0.001;0.7506316034007182;0.8466026159396434;0.674203754322908;-1;-1;token based replay
