file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9398002786301538;0.9009878517601247;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9395969964665892;0.9006142492117074;0.9821071323559086;-1;-1;token based replay
sample 0.7;0.9400325084554557;0.9014148373186126;0.9821071323559086;-1;-1;token based replay
sample 0.6;0.9349932178370146;0.8998276857744062;0.9730190916873093;-1;-1;token based replay
sample 0.5;0.9292827670674463;0.9095463697515858;0.9498946892505844;-1;-1;token based replay
sample 0.4;0.9360748489585398;0.8999552370801893;0.9752150039221279;-1;-1;token based replay
sample 0.3;0.9376591644296834;0.901992610732651;0.9762624947416919;-1;-1;token based replay
sample 0.2;0.9375345768316949;0.8949494128824458;0.9843749548888895;-1;-1;token based replay
sample 0.1;0.9391869003573515;0.904551960547517;0.9765797562144285;-1;-1;token based replay
sample 0.05;0.9389960705202166;0.9114067139220723;0.9683078929450206;-1;-1;token based replay
sample 0.01;0.882244364050947;0.9006508657364349;0.8645751380052774;-1;-1;token based replay
sample 0.005;0.9353998854584236;0.8942121996422456;0.9805650078790509;-1;-1;token based replay
sample 0.001;0.897327101413722;0.8174369681929308;0.994524429468525;-1;-1;token based replay
