file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2537711652590684;0.9400610565406899;0.1466844471990716;-1;-1;token based replay
sample 0.8;0.19917529672789963;0.8810948088112691;0.11227812672243986;-1;-1;token based replay
sample 0.7;0.2535136067729742;0.9332142630943288;0.14668009507577384;-1;-1;token based replay
sample 0.6;0.2537673570182493;0.9399565507850773;0.1466844471990716;-1;-1;token based replay
sample 0.5;0.30637173764068426;0.903443875863186;0.18446298973869713;-1;-1;token based replay
sample 0.4;0.25379633184612754;0.9409710342965714;0.14667912797233462;-1;-1;token based replay
sample 0.3;0.2932949089367719;0.9108852527491618;0.17478722451173623;-1;-1;token based replay
sample 0.2;0.24543533243630314;0.8770186269566626;0.1426826753933822;-1;-1;token based replay
sample 0.1;0.2982648759679899;0.9337314668358038;0.1774787438564316;-1;-1;token based replay
sample 0.05;0.3120419846639735;0.8754378540309699;0.18985749428826593;-1;-1;token based replay
sample 0.01;0.36522773875804176;0.9173283551831328;0.22800269175004084;-1;-1;token based replay
sample 0.005;0.8456889112735779;0.7979615264201482;0.8994888090632771;-1;-1;token based replay
sample 0.001;0.8913622140946861;0.8147830299674718;0.9838296152086724;-1;-1;token based replay
