file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9398002786301538;0.9009878517601247;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.933258726482272;0.8991085390407232;0.9701055415710057;-1;-1;token based replay
sample 0.7;0.9396156834206244;0.90064858688166;0.9821071323559086;-1;-1;token based replay
sample 0.6;0.9378872987258267;0.9009882845072725;0.9779376939350187;-1;-1;token based replay
sample 0.5;0.9377438625596886;0.8983342992816911;0.9807698397390686;-1;-1;token based replay
sample 0.4;0.9389526598559341;0.9007073925174884;0.9805898453577092;-1;-1;token based replay
sample 0.3;0.9374630144462668;0.8996634361777007;0.9785782164161161;-1;-1;token based replay
sample 0.2;0.9404102295846123;0.9031409209917424;0.9808878691658198;-1;-1;token based replay
sample 0.1;0.931395532905559;0.8991625861150775;0.9660253590082011;-1;-1;token based replay
sample 0.05;0.9349352712193316;0.9092673427883686;0.9620944694253346;-1;-1;token based replay
sample 0.01;0.8968061302518435;0.9058076809532158;0.887981726680661;-1;-1;token based replay
sample 0.005;0.9346954617407116;0.9003599839542377;0.9717535530939592;-1;-1;token based replay
sample 0.001;0.9079100393459182;0.854442673594592;0.9685156006755418;-1;-1;token based replay
