file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9397786768280866;0.9009481438022975;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9351108762402939;0.8994775676979014;0.9736839106979076;-1;-1;token based replay
sample 0.7;0.9396660764237543;0.9007411913251964;0.9821071323559086;-1;-1;token based replay
sample 0.6;0.9378872987258267;0.9009882845072725;0.9779376939350187;-1;-1;token based replay
sample 0.5;0.939018502508146;0.9006767262718147;0.9807698397390686;-1;-1;token based replay
sample 0.4;0.9390029247971086;0.9007999042024984;0.9805898453577092;-1;-1;token based replay
sample 0.3;0.9374630144462668;0.8996634361777007;0.9785782164161161;-1;-1;token based replay
sample 0.2;0.9404102295846123;0.9031409209917424;0.9808878691658198;-1;-1;token based replay
sample 0.1;0.9295268192476196;0.8987668673743853;0.9624668796484396;-1;-1;token based replay
sample 0.05;0.9349352712193316;0.9092673427883686;0.9620944694253346;-1;-1;token based replay
sample 0.01;0.8968061302518435;0.9058076809532158;0.887981726680661;-1;-1;token based replay
sample 0.005;0.9346954617407116;0.9003599839542377;0.9717535530939592;-1;-1;token based replay
sample 0.001;0.9079100393459182;0.854442673594592;0.9685156006755418;-1;-1;token based replay
