file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2761987950631567;0.9614962220352306;0.16126130808434402;-1;-1;token based replay
sample 0.8;0.2761987950631567;0.9614962220352306;0.16126130808434402;-1;-1;token based replay
sample 0.7;0.2761987950631567;0.9614962220352306;0.16126130808434402;-1;-1;token based replay
sample 0.6;0.2761987950631567;0.9614962220352306;0.16126130808434402;-1;-1;token based replay
sample 0.5;0.22581666721990268;0.9562518354761096;0.12802470288340462;-1;-1;token based replay
sample 0.4;0.30024648196149667;0.9651843488987153;0.1777739131372612;-1;-1;token based replay
sample 0.3;0.35550108643629386;0.9571404344520742;0.21828898998235224;-1;-1;token based replay
sample 0.2;0.32638064786431675;0.9517826803438894;0.19696072711772827;-1;-1;token based replay
sample 0.1;0.40525121825235333;0.9460896467371753;0.257849716005219;-1;-1;token based replay
sample 0.05;0.4811122282504298;0.9440300415701688;0.3228153731900102;-1;-1;token based replay
sample 0.01;0.9131255083516667;0.9265085095410005;0.9001236250228285;-1;-1;token based replay
sample 0.005;0.9241522598397857;0.9303738659261038;0.9180133113862449;-1;-1;token based replay
sample 0.001;0.9445166238020988;0.9387317859816852;0.9503732006397725;-1;-1;token based replay
