file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.8;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.7;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.6;0.27523662388193376;0.9707533277618512;0.16035028145592112;-1;-1;token based replay
sample 0.5;0.4065628975657973;0.9997701566996716;0.2551633486874887;-1;-1;token based replay
sample 0.4;0.4065628975657973;0.9997701566996716;0.2551633486874887;-1;-1;token based replay
sample 0.3;0.4065628975657973;0.9997701566996716;0.2551633486874887;-1;-1;token based replay
sample 0.2;0.4997902950162226;0.9997829873883205;0.33317104748546844;-1;-1;token based replay
sample 0.1;0.4894426322562005;0.9984945548324723;0.3241729595300461;-1;-1;token based replay
sample 0.05;0.41775336346629227;0.9983583165052663;0.26414011820870575;-1;-1;token based replay
sample 0.01;0.5737769011916609;0.9848318315345959;0.4048134647632724;-1;-1;token based replay
sample 0.005;0.5789203221068184;0.9741103649828771;0.41183971247423556;-1;-1;token based replay
sample 0.001;0.9304058674559612;0.8993115318416524;0.9637274284961118;-1;-1;token based replay
