file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9378775923781768;0.9002559935473007;0.9787807313545899;-1;-1;token based replay
sample 0.8;0.9353447204134304;0.8955930191990036;0.9787891569895065;-1;-1;token based replay
sample 0.7;0.931236822562445;0.8947796902063152;0.970790978263648;-1;-1;token based replay
sample 0.6;0.8275718354347233;0.8985380340907967;0.7669948670297122;-1;-1;token based replay
sample 0.5;0.9174778305298802;0.907558957452331;0.9276159096006579;-1;-1;token based replay
sample 0.4;0.9176838720989585;0.9069946226256489;0.9286280794420415;-1;-1;token based replay
sample 0.3;0.9268965656390803;0.9096747217258578;0.9447830763714593;-1;-1;token based replay
sample 0.2;0.7861909864198653;0.9056793001952093;0.694556570747247;-1;-1;token based replay
sample 0.1;0.7995080041643466;0.9042830982032977;0.7164914576804718;-1;-1;token based replay
sample 0.05;0.8074393053678733;0.9090060544991814;0.7262883135022318;-1;-1;token based replay
sample 0.01;0.9475155617602321;0.9144145760805847;0.9831030068906313;-1;-1;token based replay
sample 0.005;0.9428770674234458;0.903667995260153;0.985642934013474;-1;-1;token based replay
sample 0.001;0.33817634637289784;0.961964306930022;0.2051477909435615;-1;-1;token based replay
