file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9397874983426615;0.9009643591142252;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9397786768280866;0.9009481438022975;0.9821071323559086;-1;-1;token based replay
sample 0.7;0.933258726482272;0.8991085390407232;0.9701055415710057;-1;-1;token based replay
sample 0.6;0.9382966506881023;0.9016207029829251;0.9780829129697081;-1;-1;token based replay
sample 0.5;0.9426854561467622;0.913956753853922;0.9732788493155304;-1;-1;token based replay
sample 0.4;0.9335109015305854;0.9131371102427601;0.9548145952071552;-1;-1;token based replay
sample 0.3;0.9300776917793375;0.9130252748479546;0.9477792018626666;-1;-1;token based replay
sample 0.2;0.9375357449963344;0.9111885832855942;0.9654519402384762;-1;-1;token based replay
sample 0.1;0.9405594011387578;0.9090395366318259;0.9743436065832088;-1;-1;token based replay
sample 0.05;0.9417351022459975;0.9189801539166355;0.9656455362060783;-1;-1;token based replay
sample 0.01;0.9424387470239348;0.9063867507692263;0.9814775168785889;-1;-1;token based replay
sample 0.005;0.9397530802593757;0.9045693291690755;0.9777845812364861;-1;-1;token based replay
sample 0.001;0.9304058674559612;0.8993115318416524;0.9637274284961118;-1;-1;token based replay
