file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9380506368906351;0.9005749278692493;0.9787807313545899;-1;-1;token based replay
sample 0.8;0.9353447204134304;0.8955930191990036;0.9787891569895065;-1;-1;token based replay
sample 0.7;0.9282361765693659;0.8936590236196565;0.9655967184996276;-1;-1;token based replay
sample 0.6;0.8263551059474802;0.8956742638451629;0.7669948670297122;-1;-1;token based replay
sample 0.5;0.9396788051799445;0.9093042588061664;0.9721527528013137;-1;-1;token based replay
sample 0.4;0.9176838720989585;0.9069946226256489;0.9286280794420415;-1;-1;token based replay
sample 0.3;0.929305923463719;0.9099117986500743;0.9495447975470033;-1;-1;token based replay
sample 0.2;0.7861909864198653;0.9056793001952093;0.694556570747247;-1;-1;token based replay
sample 0.1;0.7995080041643466;0.9042830982032977;0.7164914576804718;-1;-1;token based replay
sample 0.05;0.8074393053678733;0.9090060544991814;0.7262883135022318;-1;-1;token based replay
sample 0.01;0.9475155617602321;0.9144145760805847;0.9831030068906313;-1;-1;token based replay
sample 0.005;0.9428770674234458;0.903667995260153;0.985642934013474;-1;-1;token based replay
sample 0.001;0.33817634637289784;0.961964306930022;0.2051477909435615;-1;-1;token based replay
