file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9397874983426615;0.9009643591142252;0.9821071323559086;-1;-1;token based replay
sample 0.8;0.9396284976968793;0.9006721341069717;0.9821071323559086;-1;-1;token based replay
sample 0.7;0.9351108762402939;0.8994775676979014;0.9736839106979076;-1;-1;token based replay
sample 0.6;0.9382970261374346;0.9016213963271633;0.9780829129697081;-1;-1;token based replay
sample 0.5;0.9426854561467622;0.913956753853922;0.9732788493155304;-1;-1;token based replay
sample 0.4;0.9276295830499134;0.9123199063834437;0.943461853978671;-1;-1;token based replay
sample 0.3;0.9279485822257176;0.9115785594114214;0.9449172982740154;-1;-1;token based replay
sample 0.2;0.9235494144487221;0.9119778622067993;0.9354183897979814;-1;-1;token based replay
sample 0.1;0.9255151078846106;0.9072417946592419;0.9445396602893344;-1;-1;token based replay
sample 0.05;0.9417351022459975;0.9189801539166355;0.9656455362060783;-1;-1;token based replay
sample 0.01;0.9424387470239348;0.9063867507692263;0.9814775168785889;-1;-1;token based replay
sample 0.005;0.9397530802593757;0.9045693291690755;0.9777845812364861;-1;-1;token based replay
sample 0.001;0.9304058674559612;0.8993115318416524;0.9637274284961118;-1;-1;token based replay
