file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9162319350365252;0.8887595240765293;0.9454569168929414;-1;-1;token based replay
sample 0.8;0.9163054415843843;0.8885610744476897;0.945838226397637;-1;-1;token based replay
sample 0.7;0.917234477801347;0.8891162149812317;0.9471892994704972;-1;-1;token based replay
sample 0.6;0.9174144447552727;0.8898316860396085;0.9467619109800034;-1;-1;token based replay
sample 0.5;0.919009609638241;0.8896253353138823;0.950401310989103;-1;-1;token based replay
sample 0.4;0.9186268884998816;0.8907962685480688;0.9482525820056931;-1;-1;token based replay
sample 0.3;0.9173183761770018;0.8910235836290752;0.9452123200941663;-1;-1;token based replay
sample 0.2;0.895484740828847;0.8557256367770336;0.9391184801545445;-1;-1;token based replay
sample 0.1;0.85050935356979;0.8046541574599629;0.9019067265074011;-1;-1;token based replay
sample 0.05;0.836872009787153;0.7875575837863626;0.8927748141186876;-1;-1;token based replay
sample 0.01;0.8589865895406352;0.771506488517801;0.9688423421899839;-1;-1;token based replay
sample 0.005;0.8414021141079834;0.7776419518926196;0.9165517201907062;-1;-1;token based replay
sample 0.001;0.9252696052953782;0.8897559025386076;0.963736154642538;-1;-1;token based replay
