file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.18686652186227087;0.9467191461586149;0.10366403399249735;-1;-1;token based replay
sample 0.8;0.18686622750221532;0.9467040355505771;0.10366403399249735;-1;-1;token based replay
sample 0.7;0.18337174198403855;0.9455186981888152;0.10153123963070676;-1;-1;token based replay
sample 0.6;0.18337174198403855;0.9455186981888152;0.10153123963070676;-1;-1;token based replay
sample 0.5;0.1757134296399914;0.9472861966806392;0.09683802451657608;-1;-1;token based replay
sample 0.4;0.16778215739380936;0.9496200153912544;0.09202031267145871;-1;-1;token based replay
sample 0.3;0.17053885486976106;0.950627746247704;0.09367158304719059;-1;-1;token based replay
sample 0.2;0.18184396315336504;0.926215129921941;0.10081887436241577;-1;-1;token based replay
sample 0.1;0.19054176070166667;0.9538988132093624;0.10584186260691408;-1;-1;token based replay
sample 0.05;0.18889578848700958;0.9678470595270019;0.10466132823978846;-1;-1;token based replay
sample 0.01;0.18243585017685876;0.9497766015699444;0.10090941162903211;-1;-1;token based replay
sample 0.005;0.3250433469901684;0.9494048205059156;0.196088657939954;-1;-1;token based replay
sample 0.001;0.4206904151864773;0.812684783598878;0.2838006272932858;-1;-1;token based replay
