file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2121151335955872;1.0;0.11864026458379762;-1;-1;token based replay
sample 0.8;0.20653100806967584;1.0;0.11515727843578993;-1;-1;token based replay
sample 0.7;0.20653100806967584;1.0;0.11515727843578993;-1;-1;token based replay
sample 0.6;0.20923961844352065;0.9999897679621652;0.1168441466308412;-1;-1;token based replay
sample 0.5;0.21589462395741185;0.9999884560331229;0.1210101872071575;-1;-1;token based replay
sample 0.4;0.21589462395741185;0.9999884560331229;0.1210101872071575;-1;-1;token based replay
sample 0.3;0.21589462395741185;0.9999884560331229;0.1210101872071575;-1;-1;token based replay
sample 0.2;0.21589462395741185;0.9999884560331229;0.1210101872071575;-1;-1;token based replay
sample 0.1;0.21785489769893562;0.9998540740689875;0.12224525614917658;-1;-1;token based replay
sample 0.05;0.21785489769893562;0.9998540740689875;0.12224525614917658;-1;-1;token based replay
sample 0.01;0.2257836160676831;0.9981772996213497;0.12728779717209793;-1;-1;token based replay
sample 0.005;0.17410189059064904;0.9914589847423949;0.09542975966482359;-1;-1;token based replay
sample 0.001;0.5122221836669825;0.9467553221538896;0.35108457960115647;-1;-1;token based replay
