file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.18686652186227087;0.9467191461586149;0.10366403399249735;-1;-1;token based replay
sample 0.8;0.30388925008820095;0.9398997906376405;0.18124473003472075;-1;-1;token based replay
sample 0.7;0.30388925008820095;0.9398997906376405;0.18124473003472075;-1;-1;token based replay
sample 0.6;0.30388925008820095;0.9398997906376405;0.18124473003472075;-1;-1;token based replay
sample 0.5;0.30227040209873574;0.9306167354527409;0.18043910112663697;-1;-1;token based replay
sample 0.4;0.30227040209873574;0.9306167354527409;0.18043910112663697;-1;-1;token based replay
sample 0.3;0.26872117189861305;0.9289257203078438;0.15708089706793527;-1;-1;token based replay
sample 0.2;0.30145812378881504;0.935363824914661;0.17968425374968056;-1;-1;token based replay
sample 0.1;0.5382817389609443;0.9336820089212137;0.37814361336727687;-1;-1;token based replay
sample 0.05;0.9022274248416333;0.9212606716454179;0.8839647126053621;-1;-1;token based replay
sample 0.01;0.9386652042258026;0.9258827131378828;0.9518055795294244;-1;-1;token based replay
sample 0.005;0.9342723638732114;0.9032366615009962;0.9675167655403663;-1;-1;token based replay
sample 0.001;0.9087160942999825;0.9148589162998385;0.9026552140827591;-1;-1;token based replay
