file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2121151335955872;1.0;0.11864026458379762;-1;-1;token based replay
sample 0.8;0.1663768694658241;0.9986195337285595;0.09074805957076659;-1;-1;token based replay
sample 0.7;0.1663768694658241;0.9986195337285595;0.09074805957076659;-1;-1;token based replay
sample 0.6;0.17638143421265098;0.9984624704498621;0.09673498155829807;-1;-1;token based replay
sample 0.5;0.37282402183672714;0.9977761895439741;0.2292404210578043;-1;-1;token based replay
sample 0.4;0.37282402183672714;0.9977761895439741;0.2292404210578043;-1;-1;token based replay
sample 0.3;0.30036449272304555;0.9985626254033448;0.176767853100409;-1;-1;token based replay
sample 0.2;0.3392168521599464;0.9983413194136742;0.20432047676449006;-1;-1;token based replay
sample 0.1;0.5396783455978638;0.9951906916142756;0.3702224728790524;-1;-1;token based replay
sample 0.05;0.43144555409534896;0.9873190610256695;0.2760345197342007;-1;-1;token based replay
sample 0.01;0.33321148132420875;0.976570942592599;0.20087569788423;-1;-1;token based replay
sample 0.005;0.6320380293055566;0.9796463252410365;0.46650712149935614;-1;-1;token based replay
sample 0.001;0.7217568759396188;0.9430703376241933;0.5845731459670214;-1;-1;token based replay
