file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2121151335955872;1.0;0.11864026458379762;-1;-1;token based replay
sample 0.8;0.21664600084917107;0.9999904273955175;0.12148247229275244;-1;-1;token based replay
sample 0.7;0.1399211910176864;0.9926260289003808;0.07526531891867205;-1;-1;token based replay
sample 0.6;0.14407692629087157;0.9937735377782546;0.07766864942691543;-1;-1;token based replay
sample 0.5;0.140850023614833;0.9994260331882461;0.07576373821775229;-1;-1;token based replay
sample 0.4;0.14589138791922188;0.9957246061892504;0.07871205272304682;-1;-1;token based replay
sample 0.3;0.14971389672814434;0.9993648155533441;0.08091807874192125;-1;-1;token based replay
sample 0.2;0.15464426277579;0.9872909931726999;0.08389236939652345;-1;-1;token based replay
sample 0.1;0.13198179657913947;0.9990800689677164;0.07065797491408932;-1;-1;token based replay
sample 0.05;0.3837228081096834;0.9987693877779025;0.23748097792006828;-1;-1;token based replay
sample 0.01;0.4491882284489626;0.9921757282311288;0.2903102742051482;-1;-1;token based replay
sample 0.005;0.2628317730164334;0.9861233955097937;0.15162178740981813;-1;-1;token based replay
sample 0.001;0.6984112903494059;0.9207661587818325;0.56255940163399;-1;-1;token based replay
