file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9078571535001763;0.8836256107122633;0.9334551652638423;-1;-1;token based replay
sample 0.8;0.912879641777757;0.8847832817770556;0.9428189281153102;-1;-1;token based replay
sample 0.7;0.8938522084650808;0.8364682141724841;0.959689519400339;-1;-1;token based replay
sample 0.6;0.9114270821248424;0.8792359401552294;0.9460650123246113;-1;-1;token based replay
sample 0.5;0.8911107044713141;0.8456574849976857;0.941727593396679;-1;-1;token based replay
sample 0.4;0.9101528695941714;0.8811326734063679;0.9411497339080598;-1;-1;token based replay
sample 0.3;0.9155684896869499;0.8828274870982472;0.9508315256688359;-1;-1;token based replay
sample 0.2;0.9235181699832967;0.8835439010911461;0.967280963527044;-1;-1;token based replay
sample 0.1;0.8906211813726945;0.8184494478829434;0.9767522198623302;-1;-1;token based replay
sample 0.05;0.8428908654346894;0.805386878366698;0.8840582992650307;-1;-1;token based replay
sample 0.01;0.8919786040410007;0.8940703116595614;0.8898966608192063;-1;-1;token based replay
sample 0.005;0.8800632436020202;0.8259546609678584;0.9417581541242457;-1;-1;token based replay
sample 0.001;0.898251683281723;0.8373466129604895;0.9687116972455272;-1;-1;token based replay
