file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.18686652186227087;0.9467191461586149;0.10366403399249735;-1;-1;token based replay
sample 0.8;0.20106360136759932;0.9424241316412061;0.11253647465111549;-1;-1;token based replay
sample 0.7;0.302917526893493;0.9321350765683136;0.18084323001662606;-1;-1;token based replay
sample 0.6;0.20712212852822715;0.9110119888582251;0.11684347401168682;-1;-1;token based replay
sample 0.5;0.18968501212132316;0.9472953121552741;0.10539452828588758;-1;-1;token based replay
sample 0.4;0.22156274788231287;0.9154264175193364;0.12603345672006183;-1;-1;token based replay
sample 0.3;0.25492001785135515;0.9550130723879715;0.14709144356427828;-1;-1;token based replay
sample 0.2;0.20011501742353016;0.9351645862275229;0.11204579778169699;-1;-1;token based replay
sample 0.1;0.18372187906734588;0.9472776796745648;0.10172564268481687;-1;-1;token based replay
sample 0.05;0.5097119458137322;0.9360482001250289;0.3502058085788805;-1;-1;token based replay
sample 0.01;0.6853131219119764;0.9300429086853097;0.5425480279948018;-1;-1;token based replay
sample 0.005;0.8575510599989659;0.9263534532972595;0.7982622908023994;-1;-1;token based replay
sample 0.001;0.9171845544668111;0.8985209228556148;0.9366399761748442;-1;-1;token based replay
