file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.18686652186227087;0.9467191461586149;0.10366403399249735;-1;-1;token based replay
sample 0.8;0.29387189636794014;0.9377644088503598;0.1742366511082546;-1;-1;token based replay
sample 0.7;0.40929940945413323;0.922430773921719;0.2629982784667815;-1;-1;token based replay
sample 0.6;0.38344841414493536;0.9357031140072763;0.2411317524140555;-1;-1;token based replay
sample 0.5;0.29677136146009586;0.9213746623442901;0.1768703173412175;-1;-1;token based replay
sample 0.4;0.29518488692593237;0.8366790826344723;0.17920462127787695;-1;-1;token based replay
sample 0.3;0.2497068827470851;0.9557485832525316;0.1436143909051104;-1;-1;token based replay
sample 0.2;0.24176784312345126;0.9176469445228698;0.13922428384138186;-1;-1;token based replay
sample 0.1;0.2421259417496334;0.933598323889845;0.13910063885154245;-1;-1;token based replay
sample 0.05;0.2975374710770733;0.9362748467814859;0.1768728179802629;-1;-1;token based replay
sample 0.01;0.9021041944699606;0.9203608567082923;0.8845577378464967;-1;-1;token based replay
sample 0.005;0.9065895139669127;0.9197548307228591;0.8937957736331343;-1;-1;token based replay
sample 0.001;0.9070230132282132;0.8622846202935546;0.9566578236017775;-1;-1;token based replay
