file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2121151335955872;1.0;0.11864026458379762;-1;-1;token based replay
sample 0.8;0.23461031939770946;0.9999875375220589;0.132894573102472;-1;-1;token based replay
sample 0.7;0.13191357464254075;0.9993933714965852;0.07061730509772624;-1;-1;token based replay
sample 0.6;0.14855827879070835;0.9949310309007087;0.0802720565882934;-1;-1;token based replay
sample 0.5;0.1390816531179831;0.9862860634615602;0.0748159306597197;-1;-1;token based replay
sample 0.4;0.1439149255410856;0.9977542420100785;0.0775503494217874;-1;-1;token based replay
sample 0.3;0.14566503728521113;0.9940707258455905;0.07859061218491636;-1;-1;token based replay
sample 0.2;0.1525937430440578;0.9964634738199472;0.08262313090757034;-1;-1;token based replay
sample 0.1;0.1431765672768698;0.9973564475383228;0.07712409978997325;-1;-1;token based replay
sample 0.05;0.35324277136564697;0.9943070433799839;0.21477188225429955;-1;-1;token based replay
sample 0.01;0.316423251164016;0.998028082668988;0.18801685059048745;-1;-1;token based replay
sample 0.005;0.2566905640763221;0.9817790851790134;0.14764673384477112;-1;-1;token based replay
sample 0.001;0.6773633555461752;0.9615473496103892;0.5228390074278766;-1;-1;token based replay
