file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9078571535001763;0.8836256107122633;0.9334551652638423;-1;-1;token based replay
sample 0.8;0.9078272285382292;0.8835689148191097;0.9334551652638423;-1;-1;token based replay
sample 0.7;0.9083183856315419;0.8841245247070704;0.9338736188877267;-1;-1;token based replay
sample 0.6;0.906995278095926;0.8840043045246246;0.9312140720661775;-1;-1;token based replay
sample 0.5;0.9075354079157882;0.8846249231244898;0.9316641392398652;-1;-1;token based replay
sample 0.4;0.9118483212497844;0.8808742048675193;0.9450801050888724;-1;-1;token based replay
sample 0.3;0.9044270891948205;0.873611557570882;0.9374960652110695;-1;-1;token based replay
sample 0.2;0.9065431469813745;0.8795295520342902;0.9352686965397449;-1;-1;token based replay
sample 0.1;0.9067875834316168;0.870531601575371;0.9461947929859774;-1;-1;token based replay
sample 0.05;0.9149419580624577;0.8733602615116807;0.9606811012243341;-1;-1;token based replay
sample 0.01;0.9221038413396047;0.8844349931437521;0.9631241275514147;-1;-1;token based replay
sample 0.005;0.9253381601097811;0.888347576051877;0.9655431496916007;-1;-1;token based replay
sample 0.001;0.9248782467257989;0.8817196872438835;0.9724793237413502;-1;-1;token based replay
