file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.12955600105434678;0.9252507223785018;0.06965460991377925;-1;-1;token based replay
sample 0.8;0.12955600105434678;0.9252507223785018;0.06965460991377925;-1;-1;token based replay
sample 0.7;0.1429976396764926;0.9274525809494699;0.07747119997198781;-1;-1;token based replay
sample 0.6;0.2892074736286338;0.9296754395943281;0.1712385532605334;-1;-1;token based replay
sample 0.5;0.25116677378911983;0.8910686368800509;0.14618624901921573;-1;-1;token based replay
sample 0.4;0.26583281376705725;0.8138394859725306;0.15886173281147908;-1;-1;token based replay
sample 0.3;0.2968701822253435;0.9150020228512421;0.17717749488902101;-1;-1;token based replay
sample 0.2;0.25396861879244276;0.9141429286012069;0.1474693989822583;-1;-1;token based replay
sample 0.1;0.3164464340062761;0.9316634010296487;0.19059105476984506;-1;-1;token based replay
sample 0.05;0.3620188116652418;0.8555606128148157;0.2295815596746691;-1;-1;token based replay
sample 0.01;0.882982818140188;0.8544298291401329;0.9135101285916087;-1;-1;token based replay
sample 0.005;0.883539811364685;0.8442310014583895;0.9266879551903742;-1;-1;token based replay
sample 0.001;0.8466841234233251;0.7452084751707206;0.9801522591107708;-1;-1;token based replay
