file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9162161915273688;0.8887298974496847;0.9454569168929414;-1;-1;token based replay
sample 0.8;0.90703503655214;0.8732438332454538;0.943546692163555;-1;-1;token based replay
sample 0.7;0.8855028909327484;0.8317571157152935;0.9466742863265798;-1;-1;token based replay
sample 0.6;0.8851024027523922;0.8310507001817118;0.9466742863265798;-1;-1;token based replay
sample 0.5;0.9313072435293075;0.8870523582505467;0.9802097337994085;-1;-1;token based replay
sample 0.4;0.9289026111510306;0.8867372400043652;0.9752782066480304;-1;-1;token based replay
sample 0.3;0.9200439527509329;0.8873406894951326;0.955250039765071;-1;-1;token based replay
sample 0.2;0.9245237460112505;0.8867333887900917;0.965678548303037;-1;-1;token based replay
sample 0.1;0.934630138559341;0.8831938316054906;0.9924281401047943;-1;-1;token based replay
sample 0.05;0.9038438511443385;0.9101833490139348;0.8975920526340659;-1;-1;token based replay
sample 0.01;0.9351193827550455;0.9030560076330321;0.9695434208398469;-1;-1;token based replay
sample 0.005;0.9333595631150997;0.8995051183768652;0.969862012327741;-1;-1;token based replay
sample 0.001;0.9053823860762341;0.8623663800714451;0.9529150844050165;-1;-1;token based replay
