file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9084876426824932;0.8844698453606682;0.9338462575188025;-1;-1;token based replay
sample 0.8;0.8873662779437702;0.8449886274536574;0.9342189862454677;-1;-1;token based replay
sample 0.7;0.8672139974686007;0.8065133475120478;0.9377953290419312;-1;-1;token based replay
sample 0.6;0.8673109320152403;0.8066810428116653;0.9377953290419312;-1;-1;token based replay
sample 0.5;0.9292051179551892;0.8869421938800581;0.9756972324822012;-1;-1;token based replay
sample 0.4;0.9241630341792219;0.8862888141726722;0.9654187531627296;-1;-1;token based replay
sample 0.3;0.9078799257361089;0.876748888072274;0.9413031134664521;-1;-1;token based replay
sample 0.2;0.9245237460112505;0.8867333887900917;0.965678548303037;-1;-1;token based replay
sample 0.1;0.934630138559341;0.8831938316054906;0.9924281401047943;-1;-1;token based replay
sample 0.05;0.9038438511443385;0.9101833490139348;0.8975920526340659;-1;-1;token based replay
sample 0.01;0.9351193827550455;0.9030560076330321;0.9695434208398469;-1;-1;token based replay
sample 0.005;0.9333595631150997;0.8995051183768652;0.969862012327741;-1;-1;token based replay
sample 0.001;0.9053823860762341;0.8623663800714451;0.9529150844050165;-1;-1;token based replay
