file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.3683068827182356;0.9246202111297215;0.22995224199255082;-1;-1;token based replay
sample 0.8;0.25517260667656544;0.8555277930028455;0.14994835445179922;-1;-1;token based replay
sample 0.7;0.26030994718139294;0.8505393207351366;0.15367063882904497;-1;-1;token based replay
sample 0.6;0.26030994718139294;0.8505393207351366;0.15367063882904497;-1;-1;token based replay
sample 0.5;0.39792384990919016;0.9358365764286212;0.2526832023827864;-1;-1;token based replay
sample 0.4;0.39847923789008277;0.9348818265941548;0.2532012124270452;-1;-1;token based replay
sample 0.3;0.3966354058144943;0.9361959504035748;0.25161905908606974;-1;-1;token based replay
sample 0.2;0.32216371036394736;0.9529039526231338;0.19385103926097003;-1;-1;token based replay
sample 0.1;0.49242662608302523;0.9581567626015138;0.3313619235896441;-1;-1;token based replay
sample 0.05;0.4669343623196967;0.9477158529312778;0.3097808332994333;-1;-1;token based replay
sample 0.01;0.5729397802998357;0.9266564710903801;0.4146590781237566;-1;-1;token based replay
sample 0.005;0.9339180333133852;0.9392291194124273;0.9286666749747642;-1;-1;token based replay
sample 0.001;0.9053823860762341;0.8623663800714451;0.9529150844050165;-1;-1;token based replay
