file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9227440067498451;0.8939645941891904;0.9534380489295079;-1;-1;token based replay
sample 0.8;0.7593917707143844;0.8934373766667998;0.6603213901994675;-1;-1;token based replay
sample 0.7;0.7618834139011758;0.8947475922211364;0.6633763544595692;-1;-1;token based replay
sample 0.6;0.7592457555730553;0.8875057450860937;0.6633763544595692;-1;-1;token based replay
sample 0.5;0.5727901016368592;0.890943133136505;0.4220701567897954;-1;-1;token based replay
sample 0.4;0.6533779715532791;0.8842891120328887;0.5180908316555676;-1;-1;token based replay
sample 0.3;0.6161584626524997;0.8888316479618164;0.47150999813119043;-1;-1;token based replay
sample 0.2;0.7325046786410015;0.8878911377088541;0.6234049446715183;-1;-1;token based replay
sample 0.1;0.7364973974318691;0.8830851188915951;0.6316471274046247;-1;-1;token based replay
sample 0.05;0.6304566950396192;0.875643747012724;0.49254130353419234;-1;-1;token based replay
sample 0.01;0.7107585467388491;0.8571842991466136;0.6070595504750136;-1;-1;token based replay
sample 0.005;0.21142061943893875;0.6878023637753565;0.12490773648921061;-1;-1;token based replay
sample 0.001;0.3270430979576742;0.8222896847150036;0.20411139467706196;-1;-1;token based replay
