file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9327111643220379;0.9063480424056386;0.9606538910271024;-1;-1;token based replay
sample 0.8;0.9273590760692555;0.9006263856890095;0.9557272897146365;-1;-1;token based replay
sample 0.7;0.9299746268267172;0.9011942545314677;0.9606538910271024;-1;-1;token based replay
sample 0.6;0.9300809055137579;0.9012011015404422;0.9608729477411739;-1;-1;token based replay
sample 0.5;0.9247050730767734;0.9096120986077738;0.940307366736777;-1;-1;token based replay
sample 0.4;0.9245414364764811;0.9046754407143365;0.9452995063227646;-1;-1;token based replay
sample 0.3;0.9243182591198762;0.9080710480162889;0.9411574523116715;-1;-1;token based replay
sample 0.2;0.929099755266119;0.9052078187109494;0.9542870835052781;-1;-1;token based replay
sample 0.1;0.9153364604711088;0.9044665279170432;0.9264708421834257;-1;-1;token based replay
sample 0.05;0.9124640480228774;0.89169645654427;0.9342220598977355;-1;-1;token based replay
sample 0.01;0.8812582747372266;0.8842235619432104;0.8783128095301833;-1;-1;token based replay
sample 0.005;0.8928584532673108;0.9314923581125105;0.8573016295415056;-1;-1;token based replay
sample 0.001;0.9297635489965963;0.9309972739663789;0.9285330894777648;-1;-1;token based replay
