file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.8;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.7;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.6;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.5;0.2515943813152309;0.9792817776108859;0.14433874772760258;-1;-1;token based replay
sample 0.4;0.2578578858030046;0.9790500939332503;0.14848224103733243;-1;-1;token based replay
sample 0.3;0.2578578858030046;0.9790500939332503;0.14848224103733243;-1;-1;token based replay
sample 0.2;0.4552472805572465;0.9624810685291443;0.2981305435524221;-1;-1;token based replay
sample 0.1;0.28384373983291183;0.9672027107410403;0.16632788561949663;-1;-1;token based replay
sample 0.05;0.3463624939295012;0.9731644631303175;0.21067171388231998;-1;-1;token based replay
sample 0.01;0.3356708811617401;0.9584159729515924;0.2034658842378937;-1;-1;token based replay
sample 0.005;0.2925222012249517;0.974011325067174;0.17210501937005218;-1;-1;token based replay
sample 0.001;0.9297635489965963;0.9309972739663789;0.9285330894777648;-1;-1;token based replay
