file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.8;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.7;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.6;0.21780793090023176;0.986878650945247;0.12241241152116811;-1;-1;token based replay
sample 0.5;0.21780793090023176;0.986878650945247;0.12241241152116811;-1;-1;token based replay
sample 0.4;0.21780793090023176;0.986878650945247;0.12241241152116811;-1;-1;token based replay
sample 0.3;0.21780793090023176;0.986878650945247;0.12241241152116811;-1;-1;token based replay
sample 0.2;0.2178140457680615;0.9868640742081949;0.12241649879241834;-1;-1;token based replay
sample 0.1;0.2282801255431845;0.9938207108298053;0.12894993037327318;-1;-1;token based replay
sample 0.05;0.374026243988544;0.9540904362340288;0.23260684136101772;-1;-1;token based replay
sample 0.01;0.229919224438069;0.96529428779075;0.13050138985225324;-1;-1;token based replay
sample 0.005;0.26258336307919017;0.9740193962454509;0.15174610037582736;-1;-1;token based replay
sample 0.001;0.9297635489965963;0.9309972739663789;0.9285330894777648;-1;-1;token based replay
