file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.3028958223740831;0.9345690221676932;0.1807364458482974;-1;-1;token based replay
sample 0.8;0.39079867106953897;0.9540417591036752;0.24572726229084751;-1;-1;token based replay
sample 0.7;0.365627620078504;0.9482949520086674;0.2264737871551913;-1;-1;token based replay
sample 0.6;0.39079867106953897;0.9540417591036752;0.24572726229084751;-1;-1;token based replay
sample 0.5;0.39079867106953897;0.9540417591036752;0.24572726229084751;-1;-1;token based replay
sample 0.4;0.48547949680491875;0.9370744860128075;0.32760167776131555;-1;-1;token based replay
sample 0.3;0.6598935640882496;0.9348095598870445;0.5099295532926889;-1;-1;token based replay
sample 0.2;0.7404970222852061;0.9556423619749133;0.6044224092940936;-1;-1;token based replay
sample 0.1;0.8624145051493979;0.9444947447151911;0.7934597865252566;-1;-1;token based replay
sample 0.05;0.8843548594622217;0.9396651393825205;0.8351939315872334;-1;-1;token based replay
sample 0.01;0.8964104403253497;0.8226580429793449;0.9846891432106403;-1;-1;token based replay
sample 0.005;0.9402016539621135;0.9321060313574085;0.9484391345042118;-1;-1;token based replay
sample 0.001;0.8983457260243718;0.8465129358830146;0.956940074632326;-1;-1;token based replay
