file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.8;0.2076029438056831;0.9780048193813069;0.11612668845603236;-1;-1;token based replay
sample 0.7;0.2076029438056831;0.9780048193813069;0.11612668845603236;-1;-1;token based replay
sample 0.6;0.2076029438056831;0.9780048193813069;0.11612668845603236;-1;-1;token based replay
sample 0.5;0.2076029438056831;0.9780048193813069;0.11612668845603236;-1;-1;token based replay
sample 0.4;0.2412229382304905;0.9992074664792465;0.13716871103961392;-1;-1;token based replay
sample 0.3;0.3306694959308451;0.9980551530496173;0.19816158722370392;-1;-1;token based replay
sample 0.2;0.33303913094895515;0.9977256377617185;0.1998792419858717;-1;-1;token based replay
sample 0.1;0.5130825037097001;0.9912344003690233;0.3461207096684328;-1;-1;token based replay
sample 0.05;0.5755028218050864;0.9882756699496049;0.4059498507239422;-1;-1;token based replay
sample 0.01;0.9626799919066908;0.9419705634198932;0.9843204928375269;-1;-1;token based replay
sample 0.005;0.9292365370610626;0.9578198096482551;0.9023097951285438;-1;-1;token based replay
sample 0.001;0.9368571628035522;0.9210900099952654;0.9531735188175382;-1;-1;token based replay
