file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9227440067498451;0.8939645941891904;0.9534380489295079;-1;-1;token based replay
sample 0.8;0.9225762284901423;0.9009099836715163;0.9453102686055609;-1;-1;token based replay
sample 0.7;0.7649403988394291;0.8902597697011685;0.6705490848585691;-1;-1;token based replay
sample 0.6;0.7474666568731394;0.8891430604482786;0.6447344215651406;-1;-1;token based replay
sample 0.5;0.6617015583859146;0.8909771168449214;0.5262749732264855;-1;-1;token based replay
sample 0.4;0.6387566542498937;0.8874163021395153;0.49894821562494285;-1;-1;token based replay
sample 0.3;0.6546933331719158;0.8813174326625626;0.5207789678675754;-1;-1;token based replay
sample 0.2;0.7346548486965756;0.8830776010671976;0.6289452439227545;-1;-1;token based replay
sample 0.1;0.7395624082207656;0.8812421793485785;0.6371293411791854;-1;-1;token based replay
sample 0.05;0.9555871779957248;0.9459154836202815;0.9654586956931842;-1;-1;token based replay
sample 0.01;0.7572470124850258;0.9236232008226535;0.6416617444378815;-1;-1;token based replay
sample 0.005;0.6781654355371683;0.9423091450561865;0.5296862528396882;-1;-1;token based replay
sample 0.001;0.27621904554034626;0.9457208558596167;0.16172761664564939;-1;-1;token based replay
