file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.8;0.20993230325610854;0.9882644887550343;0.11743973221175663;-1;-1;token based replay
sample 0.7;0.49419681296244505;0.9353276460294322;0.3358153905571112;-1;-1;token based replay
sample 0.6;0.23108442179845595;0.9830077064538847;0.1309318748892011;-1;-1;token based replay
sample 0.5;0.21584644162836414;0.9841035941353411;0.12121662699578506;-1;-1;token based replay
sample 0.4;0.2075851257956541;0.9731014060493928;0.11618504710843702;-1;-1;token based replay
sample 0.3;0.20789764771592345;0.9985864346017594;0.11602673993447232;-1;-1;token based replay
sample 0.2;0.223293107329075;0.9876028257213145;0.12587666233868433;-1;-1;token based replay
sample 0.1;0.224009426621001;0.9984394391437736;0.1261569745409873;-1;-1;token based replay
sample 0.05;0.5834228634509906;0.9955920025287526;0.41260631493306643;-1;-1;token based replay
sample 0.01;0.4930937732214275;0.9890869395040116;0.32840828527949495;-1;-1;token based replay
sample 0.005;0.9119176464087174;0.9533096540869272;0.8739704873026768;-1;-1;token based replay
sample 0.001;0.9228117093326166;0.904666332162569;0.9416998883750598;-1;-1;token based replay
