file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9327111643220379;0.9063480424056386;0.9606538910271024;-1;-1;token based replay
sample 0.8;0.9246013818413633;0.9103129546853228;0.9393455089125755;-1;-1;token based replay
sample 0.7;0.9195931773818856;0.9025339547382251;0.9373097131405521;-1;-1;token based replay
sample 0.6;0.9272376559968614;0.9006796807168436;0.955409424977658;-1;-1;token based replay
sample 0.5;0.916549003269596;0.9043195118524312;0.92911379820299;-1;-1;token based replay
sample 0.4;0.9233284361716834;0.9054919683675302;0.9418817126556153;-1;-1;token based replay
sample 0.3;0.9265192218008259;0.9015354553830146;0.95292717938107;-1;-1;token based replay
sample 0.2;0.8986792271663155;0.9509205046560527;0.8518790482557566;-1;-1;token based replay
sample 0.1;0.913908298172944;0.8821089412590413;0.9480860808243774;-1;-1;token based replay
sample 0.05;0.9081200516977772;0.8980466368629563;0.9184220177634621;-1;-1;token based replay
sample 0.01;0.9081936383790068;0.8916327485790212;0.9253813637199044;-1;-1;token based replay
sample 0.005;0.9158213989370123;0.8556104878485697;0.9851481152635403;-1;-1;token based replay
sample 0.001;0.861018429640882;0.7777717860224331;0.9642211648408395;-1;-1;token based replay
