file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9295214000917924;0.9018546475702724;0.9589393761189738;-1;-1;token based replay
sample 0.8;0.924580672313066;0.9020204228527735;0.9482983701061176;-1;-1;token based replay
sample 0.7;0.9219359289854596;0.9058045287248264;0.9386523128002616;-1;-1;token based replay
sample 0.6;0.9264958849680259;0.9010744299390557;0.9533933822061974;-1;-1;token based replay
sample 0.5;0.9070286298543743;0.9048668981632324;0.9092007150564476;-1;-1;token based replay
sample 0.4;0.9266600709998563;0.9067092034666037;0.94750867379919;-1;-1;token based replay
sample 0.3;0.9238707857022573;0.9009441908206055;0.9479946885998273;-1;-1;token based replay
sample 0.2;0.9106164169547211;0.9043770067637873;0.9169425181820379;-1;-1;token based replay
sample 0.1;0.9137358720914021;0.8941004544018452;0.9342530851910829;-1;-1;token based replay
sample 0.05;0.8721071224119608;0.8946559375217724;0.8506669999062764;-1;-1;token based replay
sample 0.01;0.9036212915423486;0.8386317166902357;0.9795297256733094;-1;-1;token based replay
sample 0.005;0.8679514976284808;0.9369326232263737;0.8084312143628731;-1;-1;token based replay
sample 0.001;0.8938489823718226;0.8248590604026845;0.975432643366135;-1;-1;token based replay
