file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9327111643220379;0.9063480424056386;0.9606538910271024;-1;-1;token based replay
sample 0.8;0.9270414897543421;0.9067391086181441;0.9482738564541354;-1;-1;token based replay
sample 0.7;0.9237498491431317;0.9093131865674609;0.9386523128002616;-1;-1;token based replay
sample 0.6;0.926973583465859;0.9006757889378487;0.9548532430487057;-1;-1;token based replay
sample 0.5;0.9096836198530246;0.9094822936584346;0.9098850351998966;-1;-1;token based replay
sample 0.4;0.9273844390934766;0.9066071335280375;0.9491364158947049;-1;-1;token based replay
sample 0.3;0.9241729550529558;0.9009820566849849;0.9485892423121631;-1;-1;token based replay
sample 0.2;0.9161449160319213;0.909160109930955;0.923237877423907;-1;-1;token based replay
sample 0.1;0.9137358720914021;0.8941004544018452;0.9342530851910829;-1;-1;token based replay
sample 0.05;0.8721071224119608;0.8946559375217724;0.8506669999062764;-1;-1;token based replay
sample 0.01;0.9036212915423486;0.8386317166902357;0.9795297256733094;-1;-1;token based replay
sample 0.005;0.8679514976284808;0.9369326232263737;0.8084312143628731;-1;-1;token based replay
sample 0.001;0.8938489823718226;0.8248590604026845;0.975432643366135;-1;-1;token based replay
