file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.926758670726331;0.9016150900413054;0.9533448531226858;-1;-1;token based replay
sample 0.8;0.9238590758491696;0.9001260208078921;0.9488775312156305;-1;-1;token based replay
sample 0.7;0.924381419798493;0.9042055223659273;0.9454782520633956;-1;-1;token based replay
sample 0.6;0.9262525637425087;0.9002230558292876;0.9538321523759995;-1;-1;token based replay
sample 0.5;0.9194341150947238;0.9036426912913829;0.9357872750240767;-1;-1;token based replay
sample 0.4;0.9223685014540319;0.903792965184433;0.9417236214426865;-1;-1;token based replay
sample 0.3;0.9194838268456254;0.9041008573038976;0.9353993292758663;-1;-1;token based replay
sample 0.2;0.7993368415453822;0.9058901158777068;0.7152116859221623;-1;-1;token based replay
sample 0.1;0.9201961226198837;0.9044161191697433;0.9365365545839719;-1;-1;token based replay
sample 0.05;0.7336327974991219;0.8895223205023821;0.6242350825486425;-1;-1;token based replay
sample 0.01;0.9204640385729743;0.8845259548983232;0.9594461107419314;-1;-1;token based replay
sample 0.005;0.7639500018079359;0.9349060622793026;0.6458503942534921;-1;-1;token based replay
sample 0.001;0.509024248137647;0.9078100979821528;0.35366507400069924;-1;-1;token based replay
