file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9327111643220379;0.9063480424056386;0.9606538910271024;-1;-1;token based replay
sample 0.8;0.9269453734464307;0.8998463235222587;0.9557272897146365;-1;-1;token based replay
sample 0.7;0.928099669662392;0.9051595174403899;0.9522328371473006;-1;-1;token based replay
sample 0.6;0.9298491825538521;0.9009586842444957;0.9606538910271024;-1;-1;token based replay
sample 0.5;0.9258716348349778;0.9146020978759587;0.9374223582999761;-1;-1;token based replay
sample 0.4;0.9296913254936207;0.9144688047575931;0.945429222587997;-1;-1;token based replay
sample 0.3;0.9274027121089643;0.9141151569966168;0.9410822603629393;-1;-1;token based replay
sample 0.2;0.9263215148747053;0.9113127283144014;0.9418329516265769;-1;-1;token based replay
sample 0.1;0.9209788951380428;0.9044436261619881;0.9381300274921087;-1;-1;token based replay
sample 0.05;0.9053222773243905;0.9011895965834811;0.9094930360284808;-1;-1;token based replay
sample 0.01;0.9133718224392215;0.8703761121349269;0.9608361691784152;-1;-1;token based replay
sample 0.005;0.9567626142689819;0.9487475701448325;0.9649142347961684;-1;-1;token based replay
sample 0.001;0.9310782653400905;0.9133111563477484;0.9495503539766567;-1;-1;token based replay
