file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.290190093426268;0.9305328938401779;0.1718986603379321;-1;-1;token based replay
sample 0.8;0.290190093426268;0.9305328938401779;0.1718986603379321;-1;-1;token based replay
sample 0.7;0.2897400075922862;0.9347659496989169;0.1714397287184657;-1;-1;token based replay
sample 0.6;0.27298126112186755;0.9334420135662955;0.15986682718746748;-1;-1;token based replay
sample 0.5;0.28912945425061776;0.9393961665615701;0.1708583024570015;-1;-1;token based replay
sample 0.4;0.2709379110527374;0.9302072346241157;0.15856063035073953;-1;-1;token based replay
sample 0.3;0.30779417453468844;0.936251881496778;0.1841701981935705;-1;-1;token based replay
sample 0.2;0.32178181326278366;0.9341273045350559;0.1943682285821574;-1;-1;token based replay
sample 0.1;0.4603600918927993;0.9005326583808696;0.30921733552967245;-1;-1;token based replay
sample 0.05;0.7145298575471803;0.8436627990707364;0.6196802005625535;-1;-1;token based replay
sample 0.01;0.841094592691949;0.8323143276932556;0.8500620826202221;-1;-1;token based replay
sample 0.005;0.8989155624586367;0.8362750128270908;0.9717000202142713;-1;-1;token based replay
sample 0.001;0.8782476936110889;0.8099717268377555;0.959093794635772;-1;-1;token based replay
