file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.8;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.7;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.6;0.4668268177828819;0.965419281357544;0.3078415268883302;-1;-1;token based replay
sample 0.5;0.4861839022262026;0.964572801490582;0.32499807054102026;-1;-1;token based replay
sample 0.4;0.379757071536585;0.9596052925270588;0.23671835006464037;-1;-1;token based replay
sample 0.3;0.379757071536585;0.9596052925270588;0.23671835006464037;-1;-1;token based replay
sample 0.2;0.43387952788478157;0.9562386635104728;0.28059853741936414;-1;-1;token based replay
sample 0.1;0.7446970499487098;0.9589482041332713;0.6086995305687812;-1;-1;token based replay
sample 0.05;0.9051390878850046;0.9478366804489072;0.8661225075998755;-1;-1;token based replay
sample 0.01;0.9079628206431472;0.9536760639917331;0.8664315324187527;-1;-1;token based replay
sample 0.005;0.9495034401029521;0.9229482338320348;0.9776320164434906;-1;-1;token based replay
sample 0.001;0.9272118932567087;0.8977452415812591;0.9586785563825305;-1;-1;token based replay
