file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9327111643220379;0.9063480424056386;0.9606538910271024;-1;-1;token based replay
sample 0.8;0.9297035385961239;0.9050594358693329;0.9557272897146365;-1;-1;token based replay
sample 0.7;0.9299238327474935;0.9054770696866923;0.9557272897146365;-1;-1;token based replay
sample 0.6;0.9251264498364387;0.8928581808762488;0.9598145500478894;-1;-1;token based replay
sample 0.5;0.9276504825250901;0.9089050856963901;0.9471853779272704;-1;-1;token based replay
sample 0.4;0.9276504825250901;0.9089050856963901;0.9471853779272704;-1;-1;token based replay
sample 0.3;0.9248032523427089;0.9090010404988369;0.94116460038593;-1;-1;token based replay
sample 0.2;0.92626383111495;0.9055238477348839;0.9479761353700561;-1;-1;token based replay
sample 0.1;0.9079115213303534;0.8910259911846292;0.9254493977316514;-1;-1;token based replay
sample 0.05;0.9107211415813197;0.8673755751173772;0.958626828701912;-1;-1;token based replay
sample 0.01;0.9235727950675503;0.8685169373555583;0.9860811235719527;-1;-1;token based replay
sample 0.005;0.9495034401029521;0.9229482338320348;0.9776320164434906;-1;-1;token based replay
sample 0.001;0.9272118932567087;0.8977452415812591;0.9586785563825305;-1;-1;token based replay
