file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.926758670726331;0.9016150900413054;0.9533448531226858;-1;-1;token based replay
sample 0.8;0.9244338310771781;0.9015750779646052;0.9484818703770754;-1;-1;token based replay
sample 0.7;0.9238590758491696;0.9001260208078921;0.9488775312156305;-1;-1;token based replay
sample 0.6;0.9213335768983262;0.8919645888827614;0.9527024301026104;-1;-1;token based replay
sample 0.5;0.9219707138502703;0.9030690585921075;0.9416805250530004;-1;-1;token based replay
sample 0.4;0.9190264044382577;0.9033063881238127;0.9353032542525741;-1;-1;token based replay
sample 0.3;0.9221557719686704;0.903967292611032;0.9410912115750601;-1;-1;token based replay
sample 0.2;0.9282330791615819;0.8988772712249732;0.9595710427918571;-1;-1;token based replay
sample 0.1;0.732128475313488;0.8857923540151844;0.6238971735196855;-1;-1;token based replay
sample 0.05;0.9227599846900203;0.8701323178387247;0.9821635672865426;-1;-1;token based replay
sample 0.01;0.7639500018079359;0.9349060622793026;0.6458503942534921;-1;-1;token based replay
sample 0.005;0.9310782653400905;0.9133111563477484;0.9495503539766567;-1;-1;token based replay
sample 0.001;0.35868936574184795;0.9457208558596167;0.2213143009354288;-1;-1;token based replay
