file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.290190093426268;0.9305328938401779;0.1718986603379321;-1;-1;token based replay
sample 0.8;0.290190093426268;0.9305328938401779;0.1718986603379321;-1;-1;token based replay
sample 0.7;0.2897400075922862;0.9347659496989169;0.1714397287184657;-1;-1;token based replay
sample 0.6;0.2897400075922862;0.9347659496989169;0.1714397287184657;-1;-1;token based replay
sample 0.5;0.3187394419392801;0.9379300606390828;0.1919923793145598;-1;-1;token based replay
sample 0.4;0.3187394419392801;0.9379300606390828;0.1919923793145598;-1;-1;token based replay
sample 0.3;0.3187394419392801;0.9379300606390828;0.1919923793145598;-1;-1;token based replay
sample 0.2;0.4595180578164462;0.9064254744473665;0.30777266725671426;-1;-1;token based replay
sample 0.1;0.7145298575471803;0.8436627990707364;0.6196802005625535;-1;-1;token based replay
sample 0.05;0.8425752972932423;0.8478551989286794;0.8373607484050114;-1;-1;token based replay
sample 0.01;0.9194690852801709;0.8698388399880937;0.9751055130572408;-1;-1;token based replay
sample 0.005;0.8965575830879151;0.82469225954517;0.982143522833178;-1;-1;token based replay
sample 0.001;0.9272118932567087;0.8977452415812591;0.9586785563825305;-1;-1;token based replay
