file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.8;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.7;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.6;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.5;0.40766762404217066;0.9927815801153534;0.25649664295019536;-1;-1;token based replay
sample 0.4;0.4214181380054847;0.9927483567079591;0.2674815514828528;-1;-1;token based replay
sample 0.3;0.4214181380054847;0.9927483567079591;0.2674815514828528;-1;-1;token based replay
sample 0.2;0.4214717800056111;0.9927282680134705;0.26752623295761746;-1;-1;token based replay
sample 0.1;0.3211039150823887;0.9997219684943195;0.1912691313365641;-1;-1;token based replay
sample 0.05;0.3211039150823887;0.9997219684943195;0.1912691313365641;-1;-1;token based replay
sample 0.01;0.30169846868082684;0.998109324185705;0.1777069746893588;-1;-1;token based replay
sample 0.005;0.30169846868082684;0.998109324185705;0.1777069746893588;-1;-1;token based replay
sample 0.001;0.7788316770705977;0.9886478606092258;0.6424809113551917;-1;-1;token based replay
