file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2475073292170389;0.9254385360607364;0.1428571428571429;-1;-1;token based replay
sample 0.8;0.2460234092232565;0.8854982410265396;0.1428571428571429;-1;-1;token based replay
sample 0.7;0.2460234092232565;0.8854982410265396;0.1428571428571429;-1;-1;token based replay
sample 0.6;0.2460234092232565;0.8854982410265396;0.1428571428571429;-1;-1;token based replay
sample 0.5;0.2460234092232565;0.8854982410265396;0.1428571428571429;-1;-1;token based replay
sample 0.4;0.21974107282992622;0.9077530723199734;0.125;-1;-1;token based replay
sample 0.3;0.21968489581801823;0.9058392744555992;0.125;-1;-1;token based replay
sample 0.2;0.2196432600615151;0.9044254278728606;0.125;-1;-1;token based replay
sample 0.1;0.2187633169285291;0.8754263233871096;0.125;-1;-1;token based replay
sample 0.05;0.6600081975072881;0.9070492920420989;0.5187288406990576;-1;-1;token based replay
sample 0.01;0.7319080066916059;0.8850662079449534;0.6239374053508329;-1;-1;token based replay
sample 0.005;0.9338239479352088;0.8821676702176934;0.9919060761629653;-1;-1;token based replay
sample 0.001;0.9094065964303855;0.8608676492190177;0.9637462235649547;-1;-1;token based replay
