file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.8;0.3555673900453892;0.99993051579612;0.2162282178467183;-1;-1;token based replay
sample 0.7;0.3555673900453892;0.99993051579612;0.2162282178467183;-1;-1;token based replay
sample 0.6;0.3555673900453892;0.99993051579612;0.2162282178467183;-1;-1;token based replay
sample 0.5;0.3555673900453892;0.99993051579612;0.2162282178467183;-1;-1;token based replay
sample 0.4;0.39075683344417017;0.9997121772260638;0.24283722996015;-1;-1;token based replay
sample 0.3;0.3905162432888182;0.9994056543575176;0.24266948898327378;-1;-1;token based replay
sample 0.2;0.4215194239897074;0.9994499107022993;0.26708050344497103;-1;-1;token based replay
sample 0.1;0.4865463858100463;0.9991303149253388;0.3215708561300763;-1;-1;token based replay
sample 0.05;0.5217259428026029;0.9974854867360707;0.3532433812200131;-1;-1;token based replay
sample 0.01;0.7498648508421466;0.9900042445029988;0.6034818716336376;-1;-1;token based replay
sample 0.005;0.9831098523872073;0.9760278331706903;0.9902953964767582;-1;-1;token based replay
sample 0.001;0.955813690896942;0.9460677720395034;0.9657624949782017;-1;-1;token based replay
