file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9097809588881742;0.9297546424751609;0.8906474061577394;-1;-1;token based replay
sample 0.8;0.9098642816472652;0.9299287021574979;0.8906474061577394;-1;-1;token based replay
sample 0.7;0.9098642816472652;0.9299287021574979;0.8906474061577394;-1;-1;token based replay
sample 0.6;0.9470905414815916;0.9296941164875894;0.9651504244792559;-1;-1;token based replay
sample 0.5;0.7069634832802123;0.9300137913887676;0.5702074930140225;-1;-1;token based replay
sample 0.4;0.6944442669487789;0.9285352124410604;0.5546202023236526;-1;-1;token based replay
sample 0.3;0.9045661714290226;0.920700954750779;0.8889871551905665;-1;-1;token based replay
sample 0.2;0.9387920888645008;0.9173155437475644;0.9612983770287141;-1;-1;token based replay
sample 0.1;0.7578484525862221;0.9156888595976485;0.6464224189141023;-1;-1;token based replay
sample 0.05;0.7632773766462894;0.9145670256042768;0.6549363875373968;-1;-1;token based replay
sample 0.01;0.955813690896942;0.9460677720395034;0.9657624949782017;-1;-1;token based replay
sample 0.005;0.955813690896942;0.9460677720395034;0.9657624949782017;-1;-1;token based replay
sample 0.001;0.30105728022665235;0.9472727253258802;0.17896797454317936;-1;-1;token based replay
