file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.42280426963040274;0.9703650723036299;0.2702862520717254;-1;-1;token based replay
sample 0.8;0.42735639420545507;0.9726259693171018;0.2738382945279497;-1;-1;token based replay
sample 0.7;0.4336499393612976;0.9720288194038826;0.27907712516720196;-1;-1;token based replay
sample 0.6;0.44677878981243146;0.9705826038244323;0.290176433601086;-1;-1;token based replay
sample 0.5;0.42281517565279964;0.9704799744613456;0.2702862520717254;-1;-1;token based replay
sample 0.4;0.4336499393612976;0.9720288194038826;0.27907712516720196;-1;-1;token based replay
sample 0.3;0.42233373953683223;0.9654709935511245;0.27028287547732377;-1;-1;token based replay
sample 0.2;0.433472004799486;0.9702433608001171;0.27907712516720196;-1;-1;token based replay
sample 0.1;0.598238053437207;0.9767551739322662;0.43115476966558286;-1;-1;token based replay
sample 0.05;0.5945779988753288;0.9714855610034095;0.42837947694083256;-1;-1;token based replay
sample 0.01;0.5282348783097981;0.9615668369548573;0.36413619590741364;-1;-1;token based replay
sample 0.005;0.7974127070635038;0.9612941781440663;0.6812698029916333;-1;-1;token based replay
sample 0.001;0.9383945483173077;0.8989620166533592;0.9814451630850546;-1;-1;token based replay
