file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.8;0.4570039680504932;0.9999849405392249;0.2961809343670718;-1;-1;token based replay
sample 0.7;0.49345071823119385;0.9999849405392249;0.3275386727885172;-1;-1;token based replay
sample 0.6;0.5391075419110454;0.9999830413736215;0.3690284749124878;-1;-1;token based replay
sample 0.5;0.33825531381258145;0.9999685480467893;0.20355562576967556;-1;-1;token based replay
sample 0.4;0.4551064940020821;0.9999873375149924;0.29458871430707856;-1;-1;token based replay
sample 0.3;0.3354923312263017;0.9999358191031843;0.20155910231562768;-1;-1;token based replay
sample 0.2;0.3100251418362913;0.9998925639122884;0.18345317472212253;-1;-1;token based replay
sample 0.1;0.414683617840551;0.9997865872450513;0.26159243546514843;-1;-1;token based replay
sample 0.05;0.3812030643313354;0.9994789866774767;0.23551432317160081;-1;-1;token based replay
sample 0.01;0.5748836832781282;0.9970342197424642;0.40387884811550234;-1;-1;token based replay
sample 0.005;0.5717174912737787;0.9967490412946656;0.4008064709838586;-1;-1;token based replay
sample 0.001;0.9789445381253669;0.9760257987864387;0.9818807864099879;-1;-1;token based replay
