file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.8;0.48627170871262426;0.9999862956929002;0.32124249266278837;-1;-1;token based replay
sample 0.7;0.5056072530607388;0.9999752287086872;0.33833909575936993;-1;-1;token based replay
sample 0.6;0.46628392026185256;0.9999796176728357;0.30402420363983973;-1;-1;token based replay
sample 0.5;0.6326826245921116;0.9999605504959115;0.46272663949765047;-1;-1;token based replay
sample 0.4;0.5737300726454815;0.999893973760537;0.4022762696454085;-1;-1;token based replay
sample 0.3;0.37700271383552275;0.9998985682912379;0.23229342455340174;-1;-1;token based replay
sample 0.2;0.3868019052043205;0.9997609225395624;0.23978709509671725;-1;-1;token based replay
sample 0.1;0.4088992914314127;0.9996184095014311;0.25701667241111315;-1;-1;token based replay
sample 0.05;0.43675860161472896;0.9993002069258781;0.27944760957905457;-1;-1;token based replay
sample 0.01;0.46242789392769196;0.9968463291393026;0.30103843521067275;-1;-1;token based replay
sample 0.005;0.6495174257596789;0.9904813705623625;0.483185379561908;-1;-1;token based replay
sample 0.001;0.7462373411078758;0.9772819044817658;0.6035490153646397;-1;-1;token based replay
