file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.2475073292170389;0.9254385360607364;0.1428571428571429;-1;-1;token based replay
sample 0.8;0.2475073292170389;0.9254385360607364;0.1428571428571429;-1;-1;token based replay
sample 0.7;0.2475073292170389;0.9254385360607364;0.1428571428571429;-1;-1;token based replay
sample 0.6;0.28246314907671527;0.9254378021377287;0.16666666666666663;-1;-1;token based replay
sample 0.5;0.1803839500374722;0.9195732595607033;0.09999999999999998;-1;-1;token based replay
sample 0.4;0.24659873327554013;0.9006236208245155;0.1428571428571429;-1;-1;token based replay
sample 0.3;0.21949541065187542;0.8994360166061777;0.125;-1;-1;token based replay
sample 0.2;0.2460234092232565;0.8854982410265396;0.1428571428571429;-1;-1;token based replay
sample 0.1;0.2463853097492535;0.8949610440924076;0.1428571428571429;-1;-1;token based replay
sample 0.05;0.2463271832211621;0.8934294572485152;0.1428571428571429;-1;-1;token based replay
sample 0.01;0.6058466530465089;0.7685418095891455;0.5;-1;-1;token based replay
sample 0.005;0.6055190744215134;0.7674884071182275;0.5;-1;-1;token based replay
sample 0.001;0.9229644455708818;0.8714663174877826;0.9809312567817706;-1;-1;token based replay
