file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.8;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.7;0.4861962785145748;1.0;0.32117524327228697;-1;-1;token based replay
sample 0.6;0.5324296253590617;1.0;0.36279665667776106;-1;-1;token based replay
sample 0.5;0.4466202194730246;0.999977198525314;0.2875170342095198;-1;-1;token based replay
sample 0.4;0.488002016572652;0.9999756787528056;0.3227556205380915;-1;-1;token based replay
sample 0.3;0.46267219334929555;0.9541738324483676;0.3053726154894527;-1;-1;token based replay
sample 0.2;0.3756687422523868;0.9998033655386004;0.23128646254737473;-1;-1;token based replay
sample 0.1;0.3905162432888182;0.9994056543575176;0.24266948898327378;-1;-1;token based replay
sample 0.05;0.4215194239897074;0.9994499107022993;0.26708050344497103;-1;-1;token based replay
sample 0.01;0.8761598789803874;0.9970692211198541;0.7814032190068088;-1;-1;token based replay
sample 0.005;0.8196943042050755;0.9927263574503001;0.6980281106020645;-1;-1;token based replay
sample 0.001;0.9789445381253669;0.9760257987864387;0.9818807864099879;-1;-1;token based replay
